5524 781 890
1896 2343 6
1896 1821 175
6920 6433 250
6920 6199 100
6294 6946 2270
2052 6946 320
6920 6698 100
6920 6900 1585.21
7760 1871 20
499 8836 20
817 499 1
8873 1805 5
8879 6297 2005
8849 7898 820
8879 1805 5
7916 7898 550
6655 4729 350
3084 4037 200
644 1593 6591.21
8106 8357 1328
3710 3605 745
7626 8711 1250
1283 661 125
8503 3436 90
7643 7020 300
7643 1871 90
2359 1871 325
8123 1821 40
8123 6467 150
5541 3560 3200
5544 3502 150
5544 7470 4597
7414 7485 801
8910 6297 45
8911 1805 5
7484 7619 3146
8919 8911 5
8919 8910 5
8921 1871 175
2225 7619 9
644 6806 2
644 6776 2
8945 8919 45
8945 8910 5
6758 6676 265
8841 5205 50
8971 5529 200
4115 4703 40
7066 5205 55
8988 6668 100
7205 6766 14908
7205 8503 800
1889 6467 450
7205 7891 390
9015 1871 800
658 733 150
781 2155 600
8997 3448 786
4027 6920 2214.21
8503 3396 710
8333 1861 3207
8941 1875 5
9023 7015 13
7017 7727 1040
6700 7727 345
2916 3863 300
8326 8798 395
9088 8919 5
9088 8910 35
9096 4027 2
6920 9096 2
9100 9102 5
9100 9108 5
9100 9107 5
2020 2150 136
9100 2155 780
3292 3605 3215
1883 6522 90
6994 1899 4964.47
8711 9097 1250
663 1283 25
9070 2155 54
1828 6467 50
1899 4598 6403
4598 7674 26333
7845 8520 98
7815 8499 100
7029 6504 2169
7735 8357 500
7020 6504 868.58
7950 8525 100
9004 2612 190
7849 8542 101
8542 1899 76
3783 6467 150
8499 1899 98
8525 1899 45
3362 6504 3136.7
7015 3381 449
3501 9023 10
9171 8363 5
2264 9005 200
8549 7886 500
2916 3019 100
4642 5252 105
2328 7629 160
5252 5207 255
4632 5207 170
8030 7871 100
7871 8013 205
2610 2329 105
3396 7015 360
1862 7020 50
2356 661 970
8732 8731 10
8744 8729 11
8738 8731 5
8729 8731 5
663 4038 50637
8731 8730 20
8730 8732 10
8730 8744 11
9256 9257 10
8736 8737 4
8729 8737 1
6920 9106 2
8738 8736 4
6920 7530 400
8913 3389 300
8737 486 3
9264 9262 2
9259 9261 8
9264 9263 8
8738 5372 10
5372 9264 10
8732 9262 3
9266 7923 5
9263 9259 8
9262 9266 5
9261 9260 8
6842 8946 730
8192 6 10
8614 2155 215
9286 1871 5
9301 8192 10
6 9301 10
9247 1821 1768
3687 9332 200
9102 2155 5
644 1181 100
830 4032 200
1871 3144 1300
8849 7863 440
8025 9346 10970
9348 9346 824
8333 2730 300
9260 8562 8
6505 6994 7897
3594 2173 70
9379 6994 105
9398 9401 750
8292 9401 1550
8302 9401 2635
8309 9401 100
2353 3602 10289
9408 6994 5
9129 8822 7614
6953 8822 639
9417 6994 1813
9421 6994 50
9429 4027 2
6920 9429 2
7629 3602 29900
6934 6920 400
4027 6934 400
7932 661 230
3436 3398 30
2353 661 445
2155 2248 200
1878 6996 8715
1596 4857 2578
4857 4036 1143
6493 3599 46
722 3084 200
7788 821 2
4063 6485 20
6679 7010 100
6 8738 20
6 5582 400
9423 9401 300
9439 6994 671
9438 6994 73
7989 7674 14700
9446 6994 1638
1654 5036 25
9450 6994 139
5108 5037 330
7243 7007 85
7957 4442 10712.9
4937 1766 21150
4937 7658 39586.59
1913 1899 5300
6772 6 600
7451 3305 4753
5334 7451 100
2003 1816 3930
7810 5524 2247
3395 9002 123
1918 6772 3238
6596 7654 320
8379 7774 50
7666 8379 50
4600 5036 50
3199 3162 50
767 3074 380
9511 9346 4560
9520 9346 1391
6744 6743 405
6505 5740 460
6505 8070 250
6505 8071 222
6805 8487 50
7470 5876 3190
8070 8073 517
6424 8072 324
8073 6994 19510.96
8072 8071 600
659 3502 100
7619 6760 1854
7619 7429 2490
7619 6758 1397
7619 7021 1565
733 661 50
1816 6 120
9442 6505 45
9448 9439 130
9438 9442 180
9440 8071 185
9022 3396 400
5529 3594 740
3594 1660 670
1528 1519 133.3
6105 7205 1127
6674 7485 242
3706 2348 60
7271 7485 262
661 2264 1460
6842 6744 30
6920 9583 3
9589 4143 5
6920 9588 5
6920 9587 2
7485 6668 48025
2840 4032 3
7485 8487 230
9523 5036 50
663 7090 240
6766 3360 16186
9346 7898 2047
9346 9517 474
9520 9515 250
1871 7243 185
5701 4570 50
9598 3381 10
4650 3503 50
1766 2383 12200
2264 7928 14770
5492 1593 10
1910 6467 68
9154 8070 10
9155 8072 128
499 829 10
3503 5838 50
8366 5037 800
3113 1593 100
7029 6596 70
6596 1871 520
6485 4027 870
6522 2359 150
796 7629 245
1254 1593 1880
6402 9100 1375
9670 9346 583
9669 9346 5
6920 9682 2
6668 9684 1840
9682 9665 2
6953 1994 100
7141 5201 1628.39
8025 2040 3500
6994 2040 1250
9672 7352 2
9695 4633 5
9689 6668 1790
9511 9515 95
9702 9346 269
9690 1796 5
2003 4442 13875
9710 9346 5
9693 3941 5
9695 3603 5
9713 9346 236
9715 9346 386
9231 9662 2
9726 9231 325
2264 9727 5
9171 1897 145
9746 9346 5
9690 3360 395
1888 1871 573
2610 3603 4814.9
